"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/accordion";"Bayan";"Accordéon";"Fisarmonica";"Akkordeon";"Bayán";"Баян";"Akordeon";"Akordeon";"Akordiyon";"键\t钮\t式\t手\t风\t琴";"バヤン";"Bayan (Acordeão)";"Баян";"Bajan";"Harmonika";"바얀";"Баян";"Acordeon";"鍵\t鈕\t式\t手\t風\t琴";"键\t钮\t式\t手\t风\t琴";"Bayan";;
"attachables/balalayka";"Balalaika";"Balalaika";"Balalaika";"Balalaika";"Balalaika";"Балалайка";"Bałałajka";"Balalajka";"Balalayka";"俄\t式\t三\t弦\t琴";"バラライカ";"Balalaica";"Балалайка";"Balalajka";"Balalajka";"발랄라이카";"Балалайка";"Balalaica";"俄\t式\t三\t弦\t琴";"俄\t式\t三\t弦\t琴";"Balalaika";;
"attachables/guitar";"Guitar";"Guitare";"Chitarra";"Gitarre";"Guitarra";"Гитара";"Gitara";"Kytara";"Gitar";"吉\t他";"ギター";"Guitarra";"Гітара";"Gitara";"Gitár";"기타";"Гітара";"Chitară";"吉\t他";"吉\t他";"Guitar";;
"attachables/teddy_bear_brown";"Teddy Bear (brown)";"Ourse en Peluche (Brun)";"Orsetto (marrone)";"Teddybär (braun)";"Oso de Peluche (marrón)";"Плюшевый медведь (бурый)";"Pluszowy miś (brązowy)";"Hnědý medvídek";"Oyuncak Ayı (kahverengi)";"泰\t迪\t熊\t（棕\t色）";"テディベア (茶)";"Ursinho (castanho)";"Плюшевий ведмідь (бурий)";"Plišani Meda (Braon)";"Barna plüssmackó";"갈색 곰인형";"Плюшавы мядзведзь (буры)";"Urs de pluș (maroniu)";"泰\t迪\t熊\t（棕\t色）";"泰\t迪\t熊\t（棕\t色）";"Gấu bông (nâu)";;
"attachables/teddy_bear_white";"Teddy Bear (white)";"Ours en peluche (blanc)";"Orsetto (bianco)";"Teddybär (weiß)";"Oso de Peluche (blanco)";"Плюшевый медведь (белый)";"Pluszowy miś (biały)";"Bílý medvídek";"Oyuncak Ayı (beyaz)";"泰\t迪\t熊\t（白\t色）";"テディベア (白)";"Ursinho (branco)";"Плюшевий ведмідь (білий)";"Plišani Meda (Beo)";"Fehér plüssmackó";"흰색 곰인형";"Плюшавы мядзведзь (белы)";"Urs de pluș (alb)";"泰\t迪\t熊\t（白\t色）";"泰\t迪\t熊\t（白\t色）";"Gấu bông (trắng)";;
"road_sign_achtung_panzer/name";"""Attention, Tank!""";"""Attention, Tank!""";"""Attenzione, Carro!""";"""Achtung, Panzer!""";"""Atención, Tanque!""";"""Внимание, Танк!""";"„Uwaga, czołg”";"""Pozor, Tank!""";"''Dikkat, Tank''";"“小\t心，\t坦\t克！”";"「戦車に\t注意！」";"""Atenção, tanque!""";"""Увага, танк!""";"""Pažnja, Tenk!""";"„Vigyázat, páncélosok!”";"""전차 주의!""";"«Увага, танкі!»";"„Atenție, tanc!”";"“小\t心，\t坦\t克！”";"“小\t心，\t坦\t克！”";"""Chú ý, Xe tăng!""";;
"road_sign_arrow/name";"""Ahead Only""";"""Sens unique""";"""Solo Avanti""";"""Nur Geradeaus""";"""Solo Adelante""";"""Движение прямо""";"„Nakaz jazdy prosto”";"""Přikázaný směr jízdy""";"""Sadece İleri""";"“直\t行”";"「直進」";"""Apenas em frente""";"""Тільки вперед""";"""Samo Napred""";"„Kötelező haladási irány”";"""일방통행""";"«Рух прама»";"„Doar înainte”";"“直\t行”";"“直\t行”";"""Chỉ tiến về trước""";;
"road_sign_no_crossing/name";"""No Pedestrians""";"""Piétons interdits""";"""Niente Pedoni""";"""Keine Fußgänger""";"""Peatones Prohibidos""";"""Движение пешеходов запрещено""";"„Zakaz ruchu pieszych”";"""Zákaz vstupu chodců""";"""Yayalar Giremez""";"“禁\t止\t行\t人\t通\t行”";"「歩行者通行止め」";"""Passagem proibida a peões""";"""Рух пішоходів заборонено""";"""Zabranjeno za pešake""";"„Gyalogosok számára tilos!”";"""보행 금지""";"«Рух пешаходаў забаронены»";"„Interzis pietonilor”";"“禁\t止\t行\t人\t通\t行”";"“禁\t止\t行\t人\t通\t行”";"""Cấm Người Đi Bộ""";;
"road_sign_no_entry/name";"""No Entry""";"""Sens interdit""";"""Divieto D'accesso""";"""Kein Durchgang""";"""No Entrar""";"""Въезд запрещён""";"„Zakaz wjazdu”";"""Jednosměrný provoz""";"""Girilmez""";"“禁\t止\t进\t入”";"「進入禁止」";"""Entrada proibida""";"""В'їзд заборонено""";"""Zabranjen ulaz""";"„Belépni tilos!”";"""통행 금지""";"«Уезд забаронены»";"„Intrare interzisă”";"“禁\t止\t進\t入”";"“禁\t止\t进\t入”";"""Cấm Vào""";;
"road_sign_no_smoking/name";"""No Smoking""";"""Interdiction de fumer""";"""Vietato Fumare""";"""Rauchen verboten""";"""No Fumar""";"""Запрет курения""";"„Zakaz palenia”";"""Zákaz kouření""";"""Sigara İçilmez""";"“禁\t止\t吸\t烟”";"「禁煙」";"""Não fumar""";"""Не палити""";"""Zabranjeno pušenje""";"„Tilos a dohányzás!”";"""금연""";"«Курыць забаронена»";"„Fumatul interzis”";"“禁\t止\t吸\t煙”";"“禁\t止\t吸\t烟”";"""Cấm Hút Thuốc""";;
"road_sign_speed_limit_10/name";"""Speed Limit 10""";"""Vitesse maximale 10""";"""10 Km/h""";"""Tempolimit 10""";"""Límite de Velocidad 10""";"""Ограничение максимальной скорости 10""";"„Ograniczenie prędkości do 10”";"""Maximální rychlost 10""";"""Hız Limiti 10""";"“限\t速 10”";"「速度制限 10km/h」";"""Limite de velocidade 10""";"""Обмеження максимальної швидкості 10""";"""Dozvoljena brzina 10""";"„10-es sebességkorlátozás”";"""제한속도 10""";"«Абмежаванне максімальнай хуткасці 10 км/гадз»";"„Limită de viteză 10”";"“限\t速 10”";"“限\t速 10”";"""Giới Hạn Tốc Độ 10""";;
"road_sign_speed_limit_60/name";"""Speed Limit 60""";"""Vitesse maximale 60""";"""60 Km/h""";"""Tempolimit 60""";"""Límite de Velocidad 60""";"""Ограничение максимальной скорости 60""";"„Ograniczenie prędkości do 60”";"""Maximální rychlost 60""";"""Hız Limiti 60""";"“限\t速 60”";"「速度制限 60km/h」";"""Limite de velocidade 60""";"""Обмеження максимальної швидкості 60""";"""Dozvoljena brzina 60""";"„60-as sebességkorlátozás”";"""제한속도 60""";"«Абмежаванне максімальнай хуткасці 60 км/гадз»";"„Limită de viteză 60”";"“限\t速 60”";"“限\t速 60”";"""Giới Hạn Tốc Độ 60""";;
"road_sign_stop/name";"""Stop and give way""";"""Cédez-le-passage""";"""Stop""";"""Stop""";"""Ceda el Paso""";"""Движение без остановки запрещено""";"„Stop”";"""Stůj, dej přednost v jízdě""";"""Dur ve yol ver.""";"“停\t车\t让\t行”";"「停止し\t道を\t譲る」";"""Parar e ceda passagem""";"""Проїзд без зупинки заборонено""";"""Stani i propusti""";"„Állj! Elsőbbségadás kötelező!”";"""정지""";"«Рух без спынення забаронены»";"„Oprește și acordă prioritate”";"“停\t車\t讓\t行”";"“停\t车\t让\t行”";"""Dừng và nhường đường""";;
"mg_ppsh/name";"PPSH";"PPSH";"PPSH";"PPSH";"PPSH";"ППШ";"Pepesza";"PPŠ";"PPSH";"PPSh 冲\t锋\t枪";"PPSh";"PPSH";"ППШ";"PPSH";"PPS";"PPSH";"ПКШ";"PPSH";"PPSh 衝\t鋒\t槍";"“波\t波\t沙”\t冲\t锋\t枪";"PPSH";;
"attachables/grenades";"Set of Grenades";"Pack de Grenades, 1 pce";"Granate";"Paket Granaten, 1 Stk";"Conjunto de Granadas";"Набор гранат";"Zestaw granatów";"Sada granátů";"El Bombası Seti";"手\t榴\t弹";"グレネードセット（1個）";"Conjunto de granadas";"Набір Гранат";"Set Granata, 1 kom";"Gránátkészlet";"수류탄 묶음";"Набор гранат 1 шт.";"Set de grenade";"手\t榴\t彈";"手\t榴\t弹\t（1 份）";"Chùm lựu đạn";;
"attachables/horseshoe";"Horseshoe";"Fer à cheval, 1 pce";"Ferro di cavallo";"Hufeisen, 1 Stk";"Herradura";"Подкова";"Podkowa";"Podkova";"At Nalı ";"马\t蹄\t铁";"馬蹄（1個）";"Ferradura";"Підкова";"Potkovica, 1 kom";"Lópatkó";"말발굽";"Падкова 1 шт.";"Potcoavă";"馬\t蹄\t鐵";"马\t蹄\t铁\t（1 份）";"Móng ngựa";;
"attachables/gnome";"""Monk""";"""Moine"", 1 pce";"Gnomo";"""Mönch"", 1 Stk";"""Monje""";"""Монах""";"„Mnich”";"Mnich";"""Papaz""";"僧\t侣";"「僧侶」\t（1個）";"""Monge""";"""Чернець""";"""Kaluđer"", 1 kom";"Szerzetes";"수도자 인형";"«Манах» 1 шт.";"„Călugăr”";"僧\t侶";"僧\t侣\t（1 份）";"""Sư""";;
"attachables/type98_shin_gunto";"""1938 (Type 98) Officer Gendaito""";"""Gendaito d'Officier 1938 (type 98)"" , 1 pce";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendaito"", 1 Stk";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"„Shin guntō typ 98 (1938)”";"""1938 (typ 98) důstojnické gendaito""";"""1938 (Tip 98) Subay Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」";"""Gendaito Oficial de 1938 (Tipo 98)""";"""1938 (тип 98) Офіцер Гендайто""";"""1938 (Tip 98) Oficirski Gendaito"", 1 kom";"98-as típusú tiszti kard (1938)";"98식 군도";"«1938 (Type 98) Officer Gendaito» 1 шт.";"„Ofițerul Gendaito 1938 (Tip 98)”";"九\t八\t式\t軍\t刀";"九\t八\t式\t军\t刀\t（1 份）";"""1938 (Type 98) Officer Gendaito""";;
"type98_shin_gunto/name";"""1938 (Type 98) Officer Gendaito""";"""Gendaito d'Officier 1938 (type 98)"" , 1 pce";"""Gendaito da Ufficiale 1938 (Tipo 98)""";"""1938 (Typ 98) Offiziers-Gendaito"", 1 Stk";"""Gendaito de Oficial 1938 (Tipo 98)""";"""1938 (Type 98) Officer Gendaito""";"„Shin guntō typ 98 (1938)”";"""1938 (typ 98) důstojnické gendaito""";"""1938 (Tip 98) Subay Gendaito""";"九\t八\t式\t军\t刀";"将校用現代刀「九八式軍刀（昭和\t13年制定陸軍制式軍刀）」";"""Gendaito Oficial de 1938 (Tipo 98)""";"""1938 (тип 98) Офіцер Гендайто""";"""1938 (Tip 98) Oficirski Gendaito"", 1 kom";"98-as típusú tiszti kard (1938)";"98식 군도";"«1938 (Type 98) Officer Gendaito» 1 шт.";"„Ofițerul Gendaito 1938 (Tip 98)”";"九\t八\t式\t軍\t刀";"九\t八\t式\t军\t刀\t（1 份）";"""1938 (Type 98) Officer Gendaito""";;
"attachables/mg_pps";"PPS";"PPS";"PPS";"PPS";"PPS";"ППС";"PPS";"PPS-43";"PPS";"PPS 冲\t锋\t枪";"PPS";"PPS";"PPS";"PPS";"PPS-43";"PPS";"ППС";"PPS";"PPS 衝\t鋒\t槍";"PPS-42 冲\t锋\t枪";"PPS";;
"attachables/mg_mp40";"MP-40";"MP-40";"MP-40";"MP-40";"MP-40";"МП-40";"P-40";"MP-40";"MP-40";"MP 40 冲\t锋\t枪";"MP-40";"MP-40";"MP-40";"MP-40";"MP 40";"MP-40";"МП-40";"MP-40";"MP 40 衝\t鋒\t槍";"MP 40 冲\t锋\t枪";"MP-40";;
"attachables/mg_sten";"STEN";"STEN";"STEN";"STEN";"STEN";"STEN";"STEN";"Sten Mk.II";"STEN";"“斯\t登”\t冲\t锋\t枪";"ステン\t短機関銃";"STEN";"STEN";"STEN";"STEN";"스텐 기관단총";"STEN ";"STEN";"“斯\t登”\t衝\t鋒\t槍";"“斯\t登”\t冲\t锋\t枪";"STEN";;
"attachables/mg_type_99";"Type 99";"Type 99";"Tipo 99";"Typ 99";"Tipo 99";"Тип 99";"Typ 99";"Typ 99";"Tip 99";"九\t九\t式\t轻\t机\t枪";"99式戦車";"Type 99";"Тип 99";"Tip 99";"99-es típus";"99식 기관총";"Тып 99";"Tip 99";"九\t九\t式\t輕\t機\t槍";"九\t九\t式\t轻\t机\t枪";"Type 99";;
"attachables/mg_thompson";"M1928A1 ""Thompson""";"M1928A1 « Thompson »";"M1928A1""Thompson""";"M1928A1 Thompson";"M1928A1 ""Thompson""";"M1928A1 ""Thompson""";"M1928A1 „Thompson”";"Thompson M1928A1";"M1928A1 ""Thompson""";"M1928A1\t“汤\t普\t森”\t冲\t锋\t枪";"M1928A1「トンプソン」";"M1928A1 ""Thompson""";"M1928A1""Thompson""";"M1928A1""Tompson""";"M1928A1 Thompson";"M1928A1 톰슨";"M1928A1""Thompson""";"M1928A1 „Thompson”";"M1928A1\t“湯\t普\t森”\t衝\t鋒\t槍";"M1928A1\t“汤\t普\t森”\t冲\t锋\t枪";"M1928A1 ""Thompson""";;
"attachables/anchor_danforth";"Anchor Danforth";"Ancre Danforth";"Ancora Danforth";"Danforth-Anker";"Ancla Danforth";"Якорь Дэнфорта";"Kotwica Danfortha";"Kotva Danforth";"Anchor Danforth";"丹\t福\t斯\t锚";"ダンフォースアンカー";"Âncora Danforth";"Якір Денфорта";"Danfort sidro";"Danforth horgony";"댄퍼스 닻";"Якар Дэнфарта";"Ancora Danforth";"丹\t福\t斯\t錨";"丹\t福\t斯\t锚";"Neo Danforth";;
"attachables/anchor_matrosov";"Anchor Matrosov";"Ancre Matrosov";"Ancora Matrosov";"Matrosov-Anker";"Ancla Matrosov";"Якорь Матросова литой";"Kotwica Mastrosowa";"Kotva Matrosov";"Anchor Matrosov";"马\t氏\t锚";"マトローゾフアンカー";"Âncora Matrosov";"Якір Матросова";"Matrosov sidro";"Matroszov horgony";"마트로소프 닻";"Якар Матросава адліваны";"Ancora Matrosov";"馬\t氏\t錨";"马\t氏\t锚";"Neo Matrosov";;
"attachables/jack_o_lantern";"Jack-o-lantern";"Jack-o-lantern";"Lanterna Halloween";"Jack-o-Lantern";"Linterna de Jack";"Светильник Джека";"Halloweenowa dynia";"Jackova lucerna";"Fenerli Jack";"南\t瓜\t灯";"ジャック・オ・ランタン";"Jack-o-lantern";"Світильник Джека";"Svetiljka u bundevi";"Töklámpás";"잭 오 랜턴";"Свяцільнік Джэка";"Dovleac Halloween";"南\t瓜\t燈";"南\t瓜\t灯";"Đèn bí đỏ";;
"attachables/witch_hat";"Witch hat";"Chapeau de sorcière";"Cappello Strega";"Hexenhut";"Sombrero de bruja";"Шляпа ведьмы";"Kapelusz wiedźmy";"Klobouk čarodějnice";"Cadı şapkası";"女\t巫\t帽";"魔女の\t帽子";"Chapéu de bruxa";"Капелюх відьми";"Veštičji šešir";"Boszorkánykalap";"마녀의 모자";"Капялюш ведзьмы";"Pălărie vrăjitoare";"女\t巫\t帽";"女\t巫\t帽";"Nón phù thuỷ";;
"decals/anchor_danforth";"Anchor Danforth";"Ancre Danforth";"Ancora Danforth";"Danforth-Anker";"Ancla Danforth";"Якорь Дэнфорта";"Kotwica Danfortha";"Kotva Danforth";"Anchor Danforth";"丹\t福\t斯\t锚";"ダンフォース アンカー";"Âncora Danforth";"Якір Денфорта";"Danfort sidro";"Danforth horgony";"댄퍼스 닻";"Якар Дэнфарта";"Ancora Danforth";"丹\t福\t斯\t錨";"丹\t福\t斯\t锚";"Neo Danforth";;
"decals/anchor_matrosov";"Anchor Matrosov";"Ancre Matrosov";"Ancora Matrosov";"Matrosov-Anker";"Ancla Matrosov";"Якорь Матросова";"Kotwica Mastrosowa";"Kotva Matrosov";"Anchor Matrosov";"马\t氏\t锚";"マトローゾフ アンカー";"Âncora Matrosov";"Якір Матросова";"Matrosov sidro";"Matroszov horgony";"마트로소프 닻";"Якар Матросава";"Ancora Matrosov";"馬\t氏\t錨";"马\t氏\t锚";"Neo Matrosov";;
"attachables/samurai_helmet";"Samurai Helmet";"Casque de samouraï, 1 pce";"Elmetto Samurai";"Samuraihelm, 1 Stk";"Casco Samurai";"Самурайский шлем";"Hełm samuraja";"Samurajská přilba";"Samuray Miğferi";"武\t士\t头\t盔";"兜（1個）";"Capacete de Samurai";"Самурайський шолом";"Samurajski šlem, 1 kom";"Szamurájsisak";"사무라이 투구";"Самурайскі шлем 1 шт.";"Cască samurai";"武\t士\t頭\t盔";"武\t士\t头\t盔\t（1 份）";"Nón samurai";;
"attachables/bush_sakura";"Branch of Sakura";"Branche de Sakura, 1pce";"Cespuglio di Ciliegio";"Bündel Kirschblüten, 1 Stk";"Rama de Sakura";"Ветка Сакуры";"Kwiat Wiśni (Sakura)";"Větev sakury";"Sakura Demeti";"樱\t花\t树\t叶，\t团\t状";"桜の\t枝（1個）";"Arbusto cerejeira";"Гілка Сакури";"Grana Sakura cveta, 1 kom";"Japáncseresznye-lombcsokor";"벚꽃 다발";"Галінка сакуры 1 шт.";"Ramură de Sakura";"櫻\t花\t樹\t葉，\t團\t狀";"樱\t花\t树\t叶，\t团\t状\t（1 份）";"Cành anh đào";;
"decals/samurai_helmet";"Samurai Helmet";"Casque de samouraï";"Elmetto Samurai";"Samuraihelm";"Casco Samurai";"Самурайский шлем";"Hełm samuraja";"Samurajská přilba";"Samuray Kaskı";"武\t士\t头\t盔";"兜";"Capacete de Samurai";"Самурайський шолом";"Samurajski šlem";"Szamurájsisak";"사무라이 투구";"Самурайскі шлем";"Cască samurai";"武\t士\t頭\t盔";"武\t士\t头\t盔";"Nón samurai";;
"decals/bush_sakura";"Brunch of Sakura";"Branche de Sakura, pce";"Cespuglio di Ciliegio";"Bündel Kirschblüten";"Rama de Sakura";"Ветка Сакуры";"Kwiat Wiśni (Sakura)";"Sakura";"Sakura Brançı";"樱\t花\t树\t叶，\t团\t状";"桜の\t枝";"Arbusto de Sakura";"Гілка Сакури";"Grana Sakura cveta";"Japáncseresznye-lombcsokor";"벚꽃 다발";"Галінка сакуры";"Ramură de Sakura";"櫻\t花\t樹\t葉，\t團\t狀";"樱\t花\t树\t叶";"Cành anh đào";;
"attachables/skates";"Skates";"Patins, 1 pce";"Pattini";"Schlittschuhe, 1 Stk";"Patines";"Коньки";"Rolki";"Brusle";"Patenler";"溜\t冰\t鞋";"スケート\t靴（1個）";"Patins";"Ковзани";"Klizaljke, 1 kom";"Korcsolya";"스케이트";"Канькі 1 шт.";"Patine";"溜\t冰\t鞋";"溜\t冰\t鞋\t（1 份）";"Ván trượt";;
"attachables/sleigh";"Sleigh";"Luge, 1 pce";"Slitta";"Schlitten, 1 Stk";"Trineo";"Санки";"Sanki";"Sáně";"Kızak";"雪\t橇";"そり（1個）";"Trenó";"Санки";"Sanke, 1 kom";"Szánkó";"썰매";"Санкі 1 шт.";"Sanie";"雪\t橇";"雪\t橇\t（1 份）";"Xe trượt";;
"attachables/ski";"Ski";"Ski, 1 pce";"Sci";"Ski, 1 Stk";"Ski";"Лыжи";"Narty";"Lyže";"Kayak";"滑\t雪\t板";"スキー（1個）";"Esqui";"Лижі";"Skije, 1 kom";"Síléc";"스키";"Лыжы 1 шт.";"Schiuri";"滑\t雪\t板";"滑\t雪\t板\t（1 份）";"Ván trượt tuyết";;
"attachables/crossout_roadsign";"Sign ""Run, you fools!""";"Signe ""Run, you fools!"", 1 pce";"Simbolo ""Fuggite, sciocchi!""";"Abzeichen ""Run, you fools!"" (Lauft, ihr Narren!), 1 Stk";"Letrero ""¡Corran, tontos!""";"Знак ""Бегите, глупцы!""";"Znak „Uciekajcie, głupcy!”";"Cedule ""Run, you fools!""";"""Koşun, aptallar"" işareti";"“快\t跑\t啊，\t白\t痴！”\t标\t志";"記号「Run, you fools!（逃げろ、\t馬鹿者！\t）」\t（1個）";"Sinal ""Fujam, seus tolos!""";"Знак ""Біжіть, дурні!""";"Znak ""Bežite, Vi Budale!"", 1 kom";"„Fussatok, bolondok!”";"""뛰어, 바보들아!"" 표지판";"Знак «Бяжыце, дурні!» 1 шт.";"Semn „Fugiți, proștilor!”";"“快\t跑\t啊，\t白\t痴！”\t標\t誌";"“快\t跑\t啊，\t白\t痴！”\t标\t志\t（1 份）";"Biển ""Chạy đi, bọn gà!""";;
